Function                                                                                                                                                CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Module                    Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                            Source File            Start Address
PetscSFLinkCreate_MPI                                                                                                                                     0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscSFLinkCreate_MPI                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]              0x251ba0     
func@0xdb9d0                                                                                                                                              0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          func@0xdb9d0                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xdb9d0      
OCPNRsuite::CalMaxChangeNR                                                                                                                                0.012s                   0.012s                  0s                      0s  testOpenCAEPoro           OCPNRsuite::CalMaxChangeNR(Reservoir const&)                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x578e90     
hypre_GaussElimSetup                                                                                                                                      0.012s                   0.012s                  0s                      0s  libHYPRE-2.28.0.so        hypre_GaussElimSetup                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]              0x1650b0     
func@0xdcab0                                                                                                                                              0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          func@0xdcab0                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xdcab0      
HYPRE_BoomerAMGSetMaxIter                                                                                                                                 0.012s                   0.012s                  0s                      0s  libHYPRE-2.28.0.so        HYPRE_BoomerAMGSetMaxIter                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]              0x106110     
PetscObjectGetOptionsPrefix                                                                                                                               0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscObjectGetOptionsPrefix                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]              0x1b5370     
hypre_BoomerAMGCoarseParms                                                                                                                                0.012s                   0.012s                  0s                      0s  libHYPRE-2.28.0.so        hypre_BoomerAMGCoarseParms                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x147ea0     
ISContiguousLocal_Stride                                                                                                                                  0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          ISContiguousLocal_Stride                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0x3a75d0     
PMPI_Type_create_resized                                                                                                                                  0.012s                   0.012s                  0s                      0s  libmpi.so.12              PMPI_Type_create_resized                                                                                                                                                                                                                                                                                                                                                                                                                                   type_create_resized.c  0x85c840     
OCPRockIsoT_Linear::CalPoro                                                                                                                               0.012s                   0.012s                  0s                      0s  testOpenCAEPoro           OCPRockIsoT_Linear::CalPoro(double const&, double const&, double const&, BulkContent const&)                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x4e27b0     
ISSetPermutation                                                                                                                                          0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          ISSetPermutation                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x3bd8a0     
MatGetNullSpace                                                                                                                                           0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          MatGetNullSpace                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]              0x8d34c0     
func@0xd8e90                                                                                                                                              0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          func@0xd8e90                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xd8e90      
KSPCreate_Richardson                                                                                                                                      0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          KSPCreate_Richardson                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]              0xe35ca0     
PetscLogEventRegister                                                                                                                                     0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscLogEventRegister                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]              0x1e2400     
PetscOptionsEList_Private                                                                                                                                 0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscOptionsEList_Private                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]              0x16b6f0     
PetscOptionsBool_Private                                                                                                                                  0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscOptionsBool_Private                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0x16f940     
PetscLayoutDestroy                                                                                                                                        0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscLayoutDestroy                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]              0x3d2ab0     
MatColoringRegisterAll                                                                                                                                    0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          MatColoringRegisterAll                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]              0x466e30     
hypre_handle                                                                                                                                              0.012s                   0.012s                  0s                      0s  libHYPRE-2.28.0.so        hypre_handle                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x4e2340     
hypre_ParCSRMatrixCreateAssumedPartition                                                                                                                  0.012s                   0.012s                  0s                      0s  libHYPRE-2.28.0.so        hypre_ParCSRMatrixCreateAssumedPartition                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0x25fc40     
hypre_ParCSRCommHandleCreate_v2                                                                                                                           0.012s                   0.012s                  0s                      0s  libHYPRE-2.28.0.so        hypre_ParCSRCommHandleCreate_v2                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]              0x2663e0     
hypre_MPI_Comm_size                                                                                                                                       0.012s                   0.012s                  0s                      0s  libHYPRE-2.28.0.so        hypre_MPI_Comm_size                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]              0x35fcb0     
func@0xeb250                                                                                                                                              0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          func@0xeb250                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xeb250      
VecGetValues                                                                                                                                              0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          VecGetValues                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x43a4d0     
VecDestroy                                                                                                                                                0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          VecDestroy                                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x44b4a0     
PetscSolver::AssembleMat                                                                                                                                  0.012s                   0.012s                  0s                      0s  testOpenCAEPoro           PetscSolver::AssembleMat(std::vector<std::vector<unsigned int, std::allocator<unsigned int>>, std::allocator<std::vector<unsigned int, std::allocator<unsigned int>>>> const&, std::vector<std::vector<double, std::allocator<double>>, std::allocator<std::vector<double, std::allocator<double>>>> const&, unsigned int const&, std::vector<double, std::allocator<double>>&, std::vector<double, std::allocator<double>>&)                              [Unknown]              0x46dec0     
func@0x85890                                                                                                                                              0.012s                   0.012s                  0s                      0s  libHYPRE-2.28.0.so        func@0x85890                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x85890      
func@0xddb70                                                                                                                                              0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          func@0xddb70                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xddb70      
PetscCommDuplicate                                                                                                                                        0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscCommDuplicate                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]              0x1ba560     
PCDestroy_Shell                                                                                                                                           0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PCDestroy_Shell                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]              0xf24bb0     
PetscEventRegLogRegister                                                                                                                                  0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscEventRegLogRegister                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0x200e10     
func@0x7cc00                                                                                                                                              0.012s                   0.012s                  0s                      0s  libHYPRE-2.28.0.so        func@0x7cc00                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x7cc00      
func@0x7ddc0                                                                                                                                              0.012s                   0.012s                  0s                      0s  libHYPRE-2.28.0.so        func@0x7ddc0                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x7ddc0      
PetscEventPerfInfoClear                                                                                                                                   0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscEventPerfInfoClear                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0x200d50     
func@0xdf940                                                                                                                                              0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          func@0xdf940                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xdf940      
VecNorm                                                                                                                                                   0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          VecNorm                                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0x436b50     
OCPOutput::SetVal                                                                                                                                         0.012s                   0.012s                  0s                      0s  testOpenCAEPoro           OCPOutput::SetVal(Reservoir const&, OCPControl const&, OCPNRsuite const&)                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]              0x438a30     
PetscOptionsIntArray_Private                                                                                                                              0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscOptionsIntArray_Private                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x171320     
func@0x7cf60                                                                                                                                              0.012s                   0.012s                  0s                      0s  libHYPRE-2.28.0.so        func@0x7cf60                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x7cf60      
hypre_MAlloc                                                                                                                                              0.012s                   0.012s                  0s                      0s  libHYPRE-2.28.0.so        hypre_MAlloc                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x4e2a20     
PCSetErrorIfFailure                                                                                                                                       0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PCSetErrorIfFailure                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]              0x113e3e0    
PetscOptionsInsert                                                                                                                                        0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscOptionsInsert                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]              0x180930     
KSPSolve                                                                                                                                                  0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          KSPSolve                                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0xf02e40     
PetscSFBcastWithMemTypeBegin                                                                                                                              0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscSFBcastWithMemTypeBegin                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x38de50     
PetscOptionsCheckInitial_Private                                                                                                                          0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscOptionsCheckInitial_Private                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x17a6d0     
PetscSFLinkSetUp_Host                                                                                                                                     0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscSFLinkSetUp_Host                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]              0x35d2d0     
MatHeaderReplace                                                                                                                                          0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          MatHeaderReplace                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x8ab050     
MatRestoreRowIJ_SeqBAIJ                                                                                                                                   0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          MatRestoreRowIJ_SeqBAIJ                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0x4e9f50     
PetscSortedCheckDupsInt                                                                                                                                   0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscSortedCheckDupsInt                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0x21c270     
BulkAccumuTerm01::CalResFIM                                                                                                                               0.012s                   0.012s                  0s                      0s  testOpenCAEPoro           BulkAccumuTerm01::CalResFIM(unsigned int const&, BulkVarSet const&, double const&) const                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0x48c0c0     
MatSetFromOptions                                                                                                                                         0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          MatSetFromOptions                                                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]              0x8a6820     
PetscEventPerfLogEnsureSize                                                                                                                               0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscEventPerfLogEnsureSize                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]              0x200b50     
PCSetType                                                                                                                                                 0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PCSetType                                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]              0x1137710    
PetscSFLinkDestroy                                                                                                                                        0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscSFLinkDestroy                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]              0x35c080     
KSPReset                                                                                                                                                  0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          KSPReset                                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0xf0c770     
func@0xdf570                                                                                                                                              0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          func@0xdf570                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xdf570      
PMPI_Barrier                                                                                                                                              0.012s                   0.012s                  0s                      0s  libmpi.so.12              PMPI_Barrier                                                                                                                                                                                                                                                                                                                                                                                                                                               c_binding.c            0x17c280     
PetscIntStackTop                                                                                                                                          0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscIntStackTop                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x204130     
MatGetOrdering_Natural                                                                                                                                    0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          MatGetOrdering_Natural                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]              0x88d830     
VecGetArray                                                                                                                                               0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          VecGetArray                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]              0x43f780     
