  Rank     Grid Num     Updating Properties(s)     Assembling(s)     Communication(collect)(s)     Communication(P2P)(s)     1AllReduce(OCPCheck)(s)     Newton Step(s)     Newton Step(c)(s)
Newton Step(s)                  0.547       0.056       0.675       0.408
Newton Step(c)(s)               0.364       0.029       0.418       0.275
==================================================
Final time:                   3600.000( Day )
 - Avg time step size .......   10.198 (353 steps)
 - Avg Newton steps .........    3.785 (1336 succeeded + 128 wasted)
 - Avg linear steps .........    6.869 (9177 succeeded + 1257 wasted)
Simulation time:                  745.427 (Seconds)
 - % Input & Partition .........    0.110 (0.823s)
 - % Partition - ParMetis ......    0.049 (0.362s)
 - % Input Reservoir ...........    0.008 (0.056s)
 - % Setup Simulator ...........    0.000 (0.001s)
 - % Initialization ............    0.001 (0.004s)
 - % Assembling ................    0.345 (2.575s)
 - % Assembling for LS interface    0.156 (1.165s)
 - % Linear Solver .............   98.595 (734.957s)
 - % Newton Step ...............    0.079 (0.585s)
 - % Updating Properties .......    0.198 (1.479s)
 - % Output ....................    0.364 (2.710s)
==================================================

OBJECT TIME:    15.757 s 

