SUMMARY OF RUN ./data/case1/case1.data -- 333 time step
Row 1
	        TIME	      NRiter	      LSiter	         FPR	      Volume	        FOPR	        FOPT	        FGPR	        FGPT	        FWPR
	         DAY	           -	           -	        PSIA	         Ft3	     STB/DAY	         STB	    MSCF/DAY	        MSCF	     STB/DAY
	           -	           -	           -	           -	 Hydrocarbon	           -	           -	           -	           -	           -
	     321.000	         535	        2797	 5.80294e+03	 2.65635e+09	 2.00000e+04	 6.42000e+06	 2.72830e+04	 8.10746e+06	 7.43183e-03
	     323.000	         539	        2826	 5.80791e+03	 2.65640e+09	 2.00000e+04	 6.46000e+06	 2.89140e+04	 8.16528e+06	 7.75317e-03
	     325.000	         542	        2848	 5.81266e+03	 2.65644e+09	 2.00000e+04	 6.50000e+06	 3.05694e+04	 8.22642e+06	 8.12657e-03
	     327.000	         545	        2872	 5.81718e+03	 2.65649e+09	 2.00000e+04	 6.54000e+06	 3.23214e+04	 8.29107e+06	 8.54881e-03
	     329.000	         548	        2896	 5.82146e+03	 2.65653e+09	 2.00000e+04	 6.58000e+06	 3.40236e+04	 8.35911e+06	 8.93760e-03
	     331.000	         552	        2921	 5.82551e+03	 2.65657e+09	 2.00000e+04	 6.62000e+06	 3.55560e+04	 8.43022e+06	 9.26698e-03
	     333.000	         555	        2942	 5.82936e+03	 2.65661e+09	 2.00000e+04	 6.66000e+06	 3.69898e+04	 8.50420e+06	 9.55344e-03
	     335.000	         563	        2990	 5.83301e+03	 2.65665e+09	 2.00000e+04	 6.70000e+06	 3.84296e+04	 8.58106e+06	 9.82975e-03
	     337.000	         570	        3036	 5.83647e+03	 2.65668e+09	 2.00000e+04	 6.74000e+06	 3.99432e+04	 8.66095e+06	 1.01216e-02
	     339.000	         572	        3053	 5.83972e+03	 2.65672e+09	 2.00000e+04	 6.78000e+06	 4.15732e+04	 8.74410e+06	 1.04567e-02
	     341.000	         576	        3080	 5.84279e+03	 2.65675e+09	 2.00000e+04	 6.82000e+06	 4.31924e+04	 8.83048e+06	 1.08147e-02
	     343.000	         580	        3110	 5.84565e+03	 2.65678e+09	 2.00000e+04	 6.86000e+06	 4.47875e+04	 8.92006e+06	 1.11768e-02
